mn,pinion,g2,width,SH
20,12,84,260,1.619155961
15,14,112,195,1.332433744
15,13,91,165,1.218794559
1,14,112,13,0.02813914
10,13,91,150,0.83844215
10,14,98,60,0.591111793
5,15,90,60,0.311447303
1,12,60,13,0.022245817
5,12,48,30,0.164179883
20,13,52,240,1.616469837
15,11,44,180,1.040274442
20,15,105,300,1.974995443
10,13,104,150,0.851387588
15,11,44,225,1.141692927
15,14,112,90,1.062817431
20,13,104,240,1.732054102
1,11,55,12,0.019582001
5,14,70,75,0.315241158
15,11,88,195,1.166188829
10,13,91,130,0.785936624
20,11,77,200,1.416447803
1,15,90,17,0.032925855
5,13,104,50,0.256642345
1,14,70,10,0.022796281
20,11,77,340,1.67435201
1,13,65,12,0.023172003
20,15,90,120,1.479007977
5,14,112,85,0.35975423
5,13,91,50,0.25172143
5,13,104,65,0.29261214
20,15,60,260,1.800053444
10,11,77,150,0.715082456
15,12,48,255,1.23751854
20,12,72,220,1.546708803
15,12,72,90,0.886716483
5,13,52,60,0.251709211
5,12,84,100,0.327331044
10,13,104,100,0.708046903
5,14,84,65,0.302233925
15,11,55,90,0.79635831
10,12,60,110,0.64145916
5,14,84,100,0.372768498
10,15,120,130,0.91484283
20,14,70,240,1.756696145
10,14,56,60,0.542377302
10,15,90,120,0.850186038
20,11,44,120,1.157549754
1,12,96,12,0.023118923
10,11,66,170,0.735860669
10,11,88,60,0.473777733
1,11,77,20,0.026762922
1,14,98,13,0.027545626
15,12,84,165,1.161863856
20,14,56,220,1.658552872
5,11,66,65,0.23684646
10,13,52,170,0.810151531
5,11,44,100,0.274596676
20,12,96,400,1.868495207
10,12,84,170,0.815681326
20,12,96,120,1.294678214
20,15,60,400,1.993778088
15,11,88,180,1.141019369
20,11,66,120,1.221531018
5,14,84,60,0.290379056
10,14,98,130,0.843599484
15,15,90,90,1.096902076
20,12,72,400,1.823441335
1,11,44,20,0.024260196
1,12,72,13,0.022963878
1,14,112,11,0.025883772
15,11,77,255,1.216495545
15,12,60,195,1.199406698
20,11,66,200,1.392558708
5,14,56,60,0.27124231
5,12,96,75,0.28981495
1,14,84,13,0.026844036
5,11,77,60,0.232862783
10,12,60,120,0.66792811
1,15,120,10,0.026475831
15,11,66,300,1.274124833
15,14,70,90,1.000862541
5,14,112,55,0.290221827
20,11,88,220,1.477902023
20,14,56,340,1.85791102
15,11,88,300,1.278662989
15,12,84,180,1.187851102
15,12,84,195,1.211257651
15,15,75,255,1.449173524
1,13,91,6,0.017356815
1,11,44,17,0.022366383
5,14,70,30,0.199367107
5,15,90,100,0.399219316
1,14,98,17,0.031500765
20,12,96,220,1.581446751
1,14,84,12,0.025790686
15,14,98,195,1.321979131
5,13,91,75,0.30828552
15,12,84,255,1.273593785
1,11,88,13,0.022036787
5,13,78,75,0.301158162
15,13,104,255,1.373060315
5,13,91,85,0.32765875
20,13,78,260,1.70455429
5,11,44,75,0.23797388
20,12,48,340,1.685212309
5,11,55,60,0.221098151
10,15,90,150,0.939026099
5,11,77,65,0.242370398
1,12,72,20,0.028484633
10,13,78,200,0.922602336
15,13,104,300,1.452519718
1,15,75,17,0.031875379
10,15,105,100,0.798306574
1,15,105,15,0.031740538
20,12,60,120,1.26676068
10,13,65,130,0.748183473
5,11,66,60,0.22755553
10,11,77,110,0.619278453
5,13,91,100,0.354473117
10,13,78,100,0.681436497
10,14,112,200,1.023091778
20,15,120,260,1.922565528
1,12,96,17,0.027518046
1,11,55,15,0.021893758
1,12,60,6,0.015112303
10,13,91,200,0.942634677
20,11,88,340,1.67959015
10,11,55,130,0.63880751
10,11,44,200,0.745562239
15,15,105,180,1.356285013
5,15,105,65,0.33190589
15,13,78,300,1.405823262
15,13,78,165,1.200275112
15,12,72,150,1.112531798
1,14,84,10,0.023543148
1,11,55,20,0.025281534
10,15,60,130,0.826627273
20,11,66,220,1.444265613
5,13,78,30,0.190440691
20,15,75,340,1.99600517
1,12,48,20,0.026468548
10,13,52,60,0.504044228
20,12,48,400,1.744225112
15,12,72,195,1.19340674
5,13,65,30,0.184960267
1,14,98,10,0.024158458
10,12,84,110,0.673773491
5,15,75,75,0.338072713
10,14,112,100,0.760684552
20,15,60,220,1.746879057
10,12,48,200,0.807996865
10,12,60,100,0.613499877
20,13,52,220,1.567270247
10,13,104,120,0.769883896
1,13,78,17,0.028471569
5,11,55,55,0.211686032
5,13,65,85,0.310886435
10,13,104,130,0.798381366
10,11,55,200,0.772217965
1,11,88,11,0.020270627
10,13,65,60,0.522395358
20,14,70,400,1.975935692
1,14,56,13,0.024922704
15,15,120,225,1.483321906
1,14,112,6,0.019115563
10,14,84,170,0.921341027
10,13,104,110,0.739841462
5,13,91,60,0.275743787
5,13,65,75,0.292490701
5,12,96,100,0.333692872
10,12,96,200,0.891335912
15,14,98,225,1.395505068
1,15,105,6,0.020072697
5,11,55,100,0.285228694
1,14,84,15,0.028835635
15,15,120,255,1.51732233
10,11,55,110,0.590681589
1,11,66,12,0.020208058
15,12,96,165,1.176850836
20,11,66,240,1.49205586
20,12,60,220,1.514477078
10,15,120,200,1.070645443
5,14,98,55,0.284625399
15,15,105,255,1.508850736
5,12,96,50,0.236638418
1,13,65,13,0.024118377
5,14,56,100,0.348618901
5,12,48,60,0.232243589
15,15,75,225,1.414696841
20,15,120,300,2.001548449
1,13,78,12,0.023919937
10,14,98,100,0.748449799
5,13,91,30,0.194947313
15,12,60,225,1.242290416
5,11,77,30,0.164601123
20,12,96,260,1.641364861
10,14,56,120,0.748317016
20,11,44,200,1.355209158
15,13,78,90,0.95732129
20,12,48,120,1.254610988
5,15,60,65,0.302705831
1,13,78,20,0.030882501
20,11,55,120,1.192013539
20,13,78,240,1.696708256
20,15,105,260,1.896768267
5,13,104,75,0.314312168
1,11,44,10,0.017153494
20,14,112,400,2.063217287
10,14,70,130,0.802944983
10,12,48,60,0.465714099
1,11,44,13,0.019558353
1,11,55,13,0.020381722
10,15,75,100,0.761162888
20,12,48,200,1.428669974
10,13,52,150,0.772023943
20,13,91,400,1.942735497
10,13,104,200,0.956287943
15,14,70,150,1.210215887
1,11,66,6,0.014288702
